/*name,description*/
レザーアーマー,なめし皮で作られた軽量の鎧
メイルシャツ,胸回りをカバーする鎖帷子
クロースアーマー,丈夫な布で作られた鎧
黄昏の鎖帷子,北方人戦士の鎧
狂戦士のハーネス,北方人戦士がまとう ほぼ半裸
剣闘士のハーネス,帝国のコロシアム闘士用 ほぼ半裸
パッデドレザー,キルト様に組み合わせられた革鎧
ハードレザー,堅固な革を使った鎧
チェインメイル,細かい鎖を編んで作られた鎖かたびら
メイルホバーク,股下までカバーする鎖かたびら
ライトスケイル,軽量の金属鱗鎧
ロリカ・スクアマタ,魔術的に強化された壮麗な鱗鎧
ラメラーメイル,金属製の小札を組み合わせた鎧
クロークドホバーク,毛皮の外套がついたメイルホバーク
プレーテッドメイル,板金で補強された鎖かたびら
ラメラーハーネス,金属製の子札で上半身全体を守る鎧
スケイルアーマー,ほとんど隙のない鱗鎧
ナイトサーコート,帷子の上から羽織ったサーコート
ヘビーラメラー,非常に防御力の高い重層鱗鎧
スケイルコート,ほぼ全身をカバーする強力な重層鱗鎧
プレートメイル,いわゆる全身板金鎧
ロリカ・ハマタ,ミスリルで編まれた鎖かたびら 帝国軍団正式装備
ロリカ・セグメンタータ,魔法で強化された重層板金鎧 帝国盛期の遺産
レンジャーハーネス,熟練の弓兵に愛される防具
竜鱗の下着,大事なところだけ隠れている
竜鱗の服,剥がれた鱗を何枚か縫い付けてある
ギャンベゾン,厚手のパッド入り布鎧
ボイルドレザーメイル,蒸して硬質化した革でさらに補強された鎖かたびら
ウォリアープレート,装飾過剰気味の重い板金鎧
ポテトンプレート,名のあるポテチ人戦士のみ着ることが許される鎧
ドラゴンビキニ,とても薄着に見えるが、実は鱗がないところを上手くカバーしている鎧
ソードシスターの鎧,女性剣士用に調整された革鎧 華美な装飾が施されている
リネンのチュニック,ただの布の服
帝国のギャンベゾン,帝国文化圏で用いられるパッド入り布鎧
ブルーダーサーコート,鉄十字騎士修道会の騎士が着る鎧
竜騎士の鎧,竜族の体格に合わせて作られた鎧
ローブ,広く普及している一般的なローブ
魔法使いのローブ,魔法使いの普段使い用につくられたローブ
スコラエのローブ,魔力を帯びたローブ 帝国軍正式装備
ブラススケイル,帝国文化圏の鱗鎧
ラメラーホバーク,鎖かたびらにさらに小札のカバーを重ねた鎧
北方の重ラメラーアーマー,装飾が施されたヴァリャーグの重装小札鎧
レザーラメラー,堅固な革で作った子札鎧
プレーテッドレザーラメラー,板金で補強した革の子札鎧
ステップヘビーアーマー,草原の重装甲
,
,
オオヨロイ,極東のでかい小札鎧
グソク,極東の小札鎧
ハラマキ,極東の胴鎧
ショーグンヨロイ,極東で一番デカくて強い奴が着る鎧
ニンジャグソク,
,
,
ポテトンラメラー,孔雀石で塗装されたラメラー鎧
,
,
,
,
帝国のトゥニカ,帝国文化圏の庶民の服
インペリアルハマタ,帝国軍の鎖かたびら
,
,
,
,
,
,
,
ロリカ・ナーナ,微小な魔力構造体の働きにより自己再生する鎧 帝国盛期の遺産
ロリカ・クアンタ,神に成った皇帝の鎧 奇跡の残滓
