/*name,description*/
虚無の外套,魔力をかき消す複製品の神器 帝国盛期の遺産
パワーバングル,すこし力持ちになる腕輪
スナイパーズアイ,攻撃が当たりやすくなるゴーグル
アミュレット,不運を防ぐお守り
駄馬,ダーバパパ
メタルパウルドロン,金属製の肩当
レザーグローブ,ただの革の手袋
駿馬,足は速いが決して力持ちではない
ゴブリンウルフ,ゴブリンの友
ステップ馬,小柄だが力強い馬
破れた虚無の外套,鹵獲された神器 竜族でも着用できるよう、雑に穴が空けられている
帝国装甲軍馬,帝国超重騎兵の軍馬
カタフラクト隊長軍馬,帝国超重騎兵隊隊長用の軍馬
帝国猟馬,帝国の精鋭が駆る軍馬
軍馬,チェーンメイルを着せた馬
インペリアルクローク,帝国軍の外套
らくだ,南方の砂漠でよく見られる大きな騎獣
着甲らくだ,南方で軍用に使われる砂漠の騎獣
近衛兵のらくだ,壮麗な鎧をつけた熱砂の騎獣
砂漠の馬,砂漠育ちのたくましい馬
ステップ軍馬,遊牧民の精鋭が駆る軍馬
帝国超重軍馬,帝国のクリバナリウス隊用軍馬
パラディンホース,ポテチ人騎士の軍馬
