/*name,description*/
海賊のスカーフ,ドクロのマーク付きのスカーフ
勇者のバンダナ,着用者に勇気を与える
レザーハット,ただの皮の帽子
キルトキャップ,厚手の布で作った帽子
熊の兜,クマの毛皮を被るだけ
ウィングハット,羽飾りつきの帽子
チェインコイフ,鎖で編まれた頭巾
ヘッドスカーフ,布を頭に巻くだけ
アイアンヘルム,そのまま鉄の兜
ケトルハット,弓兵が好んで用いる兜
ネイザルヘルム,鼻まできちんと守る兜
プルムドスパンゲンヘルム,大陸内で広く流通した板金合わせ兜
ヴァイキングヘルム,北方人のバイザー付き兜
フラットトップ,上面が平らな兜
ムルミロヘルム,帝国の闘士が被る飾り物の兜
南方のラメラーヘルム,金属の小札でカバーされた壮麗な兜
ノルドフルコイフ,北方人戦士の大兜
フルヘルム,頭全体をカバーする兜
グレートヘルム,頭がすっぽり入るバケツ兜
サークレット,魔法のかかった頭飾り
ミスリルヘルム,帝国軍団兵の兜
ドラゴンヘルム,ドラゴンのヘルム。
カタフラクトヘルム,帝国重騎兵が装備する兜
帝国リッジヘルム,帝国軍の正式装備
帝国ガードヘルム,意匠の施された仮面がついた兜
うもう,ふわっふわだぞ。
ラメラーヘルム,金属の小札でカバーされた兜
青のラメラーヘルム,ポテトン人戦士の兜
コニカルヘルム,尖り頭の兜
コニカルフルヘルム,頭全体を守る尖り頭の兜
コイフドコニカル,鎖頭巾付きコニカルヘルム
コイフドケトル,鎖頭巾付きケトルハット
コイフドネイザル,鎖頭巾付きネイザルヘルム
ポテチウォーヘルム,ドラナ氏族の兜を真似て作られた兜
竜騎士の兜,かつおぶし付き
とんがり帽子,かわいいと評判
ウィッチハンターハット,黒衣に似合う帽子
,
,
インペリアルスパンゲンヘルム,帝国軍の板金合わせ兜
ウェクシラリウスヘルム,帝国軍旗手伝統の毛皮付き兜
レギオ・リッジヘルム,帝国機動野戦軍重装歩兵の兜
,
,
,
,
,
サブサメハット,クソデケぇ弓の道を往くゴブリンの帽子
サモウライカブト,極東の兜
ダイサモウライカブト,極東のマスク付き兜
ニンジャズキン,極東のアサシンのヘッドギア
ジンガサ,稲藁でできた帽子
ステップヘルム,ステップの兜
コイフドステップヘルム,鎖頭巾付きステップヘルム
ステップフルヘルム,遊牧民の戦仮面
,
,
,
,
,
コニックフルヘルム,大陸北東部族の大兜
ルーリキアンコニカル,飾り付きの尖り頭の兜
コイフドルーリキアンコニカル,鎖頭巾付きコニカルヘルム
ルーリキアンエリートヘルム,ルーリキアの上質な兜
ノルドヘルム,北方人がよく被っている兜
ノルドウォーヘルム,北方人の頬当て付きの兜
,
,
フルターバン,
ターバン,
大きなターバン,
ターバン・ヘルム,
ターバン・ヘルム,
南方の面頬兜,
南方のフルコイフヘルム,
アサシンターバン,
フルアサシンターバン,
アサシンマスク,
大河の大兜,
黄金の仮面,
