Name,Tier,TroopID1,Amount1,TroopID2,Amount2,TroopID3,Amount3,TroopID4,Amount4,,,,,,Comment1,Comment2,*/
Compound,1,TRP_sushi_zako,6,TRP_sushi_bowman,6,0,0,0,0,,,,,,,,
InfRush,1,TRP_sushi_zako,9,0,0,0,0,0,0,,,,,,,,
Cav,1,TRP_sushi_wolfrider,5,TRP_sushi_fodder,6,0,0,0,0,,,,,,,,
,1,TRP_sushi_ronin,3,TRP_sushi_fodder,6,0,0,0,0,,,,,,,,
,1,TRP_sushi_ronin,2,TRP_sushi_zako,6,0,0,0,0,,,,,,,,
,2,TRP_sushi_ronin,4,TRP_sushi_bowman,6,0,0,0,0,,,,,,,,
,2,TRP_sushi_fodder,6,TRP_sushi_wolfrider,6,TRP_sushi_bowman,3,0,0,,,,,,,,
Cav,2,TRP_sushi_wolfrider,12,0,0,0,0,0,0,,,,,,,,
,2,TRP_sushi_ronin,6,TRP_sushi_fodder,6,0,0,0,0,,,,,,,,
,2,TRP_sushi_ashigaru,3,TRP_sushi_bowman,7,TRP_ram,1,0,0,,,,,,,,
,3,TRP_sushi_horse_archer,4,TRP_sushi_lancer,4,0,0,0,0,,,,,,,,
,3,TRP_sushi_ashigaru,6,TRP_sushi_crossbow,8,0,0,0,0,,,,,,,,
,3,TRP_sushi_zako,16,TRP_sushi_bowman,12,0,0,0,0,,,,,,,,
,3,TRP_sushi_boomer,6,TRP_sushi_ronin,10,0,0,0,0,,,,,,,,
Siege,3,TRP_sushi_ashigaru,6,TRP_ram,2,0,0,0,0,,,,,,,,
,4,TRP_sushi_boomer,10,TRP_sushi_crossbow,8,TRP_sushi_horse_archer,3,0,0,,,,,,,,
,4,TRP_sushi_ashigaru,8,TRP_sushi_samurai,3,TRP_sushi_heavy_lancer,4,0,0,,,,,,,,
Cav,4,TRP_sushi_lancer,7,TRP_sushi_horse_archer,8,0,0,0,0,,,,,,,,
Extra,4,TRP_sushi_kamikaze,4,TRP_sushi_onimiko,6,0,0,0,0,,,,,,,,
Siege,4,TRP_sushi_ashigaru,7,TRP_ram,2,TRP_mangonel,1,0,0,,,,,,,,
,5,TRP_sushi_kamikaze,5,TRP_sushi_samurai,5,0,0,0,0,,,,,,,,
,5,TRP_sushi_shogun,1,TRP_sushi_ashigaru,9,TRP_sushi_crossbow,9,0,0,,,,,,,,
Cav,5,TRP_sushi_heavy_lancer,6,TRP_sushi_heavy_horse_archer,6,0,0,0,0,,,,,,,,
,5,TRP_sushi_onimiko,6,TRP_sushi_flame,3,0,0,0,0,,,,,,,,
,5,TRP_sushi_destroyer,5,TRP_ram,2,TRP_mangonel,1,0,0,,,,,,,,
,6,TRP_sushi_kamikaze,9,TRP_sushi_samurai,9,TRP_sushi_kensei,1,0,0,,,,,,,,
,6,TRP_sushi_shogun,1,TRP_sushi_kamikaze,8,TRP_sushi_boomer,4,TRP_sushi_handgonne,2,,,,,,,,
cavfinal,6,TRP_sushi_heavy_lancer,6,TRP_sushi_heavy_horse_archer,8,TRP_sushi_destroyer,6,TRP_mangonel,2,,,,,,,,
,6,TRP_sushi_kamikaze,6,TRP_sushi_samurai,6,TRP_sushi_flame,1,TRP_sushi_fox,1,,,,,,,,
,6,TRP_sushi_destroyer,7,TRP_sushi_onimiko,6,TRP_ram,4,TRP_bombard_cannon,2,,,,,,,,
,7,TRP_sushi_kamikaze,10,TRP_sushi_samurai,9,TRP_sushi_kensei,2,0,0,,,,,,,,
,7,TRP_sushi_shogun,1,TRP_sushi_kamikaze,7,TRP_sushi_samurai,8,0,0,,,,,,,,
cavfinal,7,TRP_sushi_khan_guard,8,TRP_sushi_heavy_horse_archer,7,TRP_sushi_destroyer,7,0,0,,,,,,,,
,7,TRP_sushi_kamikaze,8,TRP_sushi_samurai,6,TRP_sushi_kensei,2,TRP_sushi_fox,2,,,,,,,,
,7,TRP_sushi_handgonne,12,TRP_sushi_destroyer,3,TRP_ram,3,TRP_bombard_cannon,3,,,,,,,,
,7,TRP_sushi_shogun,1,TRP_sushi_kamikaze,16,TRP_sushi_kensei,2,0,0,,,,,,,,
,8,TRP_sushi_hero_fox,1,TRP_sushi_shogun,2,TRP_sushi_kamikaze,14,TRP_sushi_kensei,6,,,,,,,,
