id,name,agentDefaultGrp,agentType,agentSprite,race,skin,width,height,faction,passiveId,unitclass,Lv,HP,SP,AD,AP,AR,MR,HIT,EVA,Crit,MS,WILL,MainWeapon,WEPvariations,Shield,SHDvariations,Armor,AMRvariations,Helmet,HELvariations,Accessory,ACCvariations,SubWeapon,SubWEPvariations,ReserveSetL,?,ActiveSkill:0,ActiveSkill:1,ActiveSkill:2,ActiveSkill:3,PassiveSkill,Perks1,Perks2,Perks3,Perks4,motionFlags,objFlags,AABits,ExtraSettingEv,ExtraParts,Hpreg,Spreg,AS,MoveTypeBits,AArangeMax,AArangeMin,AAframe,AAcost,AAFunction,reserve,AtkTime,AAarmorEff,AAarmorPen,AAeffect,,AIFlag,spriteOffset_x,spriteOffset_y,,,,,,,,train_speed,food,wood,stone,gold,iconsprite,spawnsound,ex_spawn_cev,Description,Lore,,,*/
nord_viking,JOMSVIKING,0,1,1,0,0,10,12,FAC_nord,2,0,18,1400,65,18,0,0,0,43,23,3,26,150,WEP_Vikingaxe,-1,SHD_jomsviking_shield,-1,AMR_Twilight_Mail,-1,HEL_Nordic_Warlord_Helm,-1,0,-1,0,-1,0,-1,1201,1208,0,0,0,1|2|3|9|18,1|2|3|4|7,16,0,1|3,9|12|15|16,2,315,0,10,16,,64,,,,,,,,,,,,,0,0,,,,,,,,75,235,,,285,4,,,One of the strongest infantry unit in the game. ^They can also attack even at long range with their throwing axe. ^...JOMSVIKING was the most powerful mercenary group of the northerners$; ^and has terrorized even the Dragons.^ On the other hand$; they offered their axes for anyone who would provide them with a place to battle. ^Some of them even joined the ranks of the Dragons during the southward advance of the Orthunass' Army.,,,,
poteton_levy_pike,Poteton Levy Pikeman,12,3,2,0,442,10,12,FAC_poteton,0,0,4,70,5,0,0,0,0,15,2,0,0,15,WEP_Pike,,,,AMR_Leather_Armor|AMR_Cloth_Armor|AMR_Gambeson,,HEL_Headscarf|HEL_Leather_Hat|HEL_Kilted_Cap,,,,,,,,,,,,,,,,,16|17|1|2|6,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,265,25,15,,,6,,,A long spear infantry specialized in anti-cavalry.^ Their armor was simple cloth armor$; so they were quite vulnerable.,,,,
imperial_shockcav,Imperial Contarii,16,3,3,0,441,10,11,FAC_imperial,0,2,8,250,30,2,0,0,0,28,2,0,0,36,WEP_Contos,,,,AMR_Light_Scale,,HEL_Plumed_Spangenhelm|HEL_Imp_Spangenhelm,,ACC_Courser,,,,,,,,,,,,,6|7,,16|17|1|2|6,15,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,195,80,30,,,17,horse,,A shock cavalry specialized in charge with his two-handed lance.^...On the battlefield where cataphracts could not arrive in time$; they$; as lightly armed cavalrymen$; deployed as cheaper shock power.^ The cavalry charge with double-handed kontos showed tremendous impact power.^But on the other hand$; the Contarii were vulnerable against any incoming attack and the casualty rate of them was significantly high.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
poteton_pike,Poteton Pikeman,12,3,5,0,442,10,12,FAC_poteton,0,0,6,150,25,20,0,-10,0,28,5,0,12,36,WEP_Pike,-1,,,AMR_Mail_Hauberk|AMR_Mail_Hauberk|AMR_Cloaked_Hauberk,,HEL_Lamellar_Helm,,,,,,,,,,,,,2|11|13,6,,,16|17|1|2|6,15,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,257,30,20,,,7,,,An mediocre spearman. Cheap and strong against cavalry. ^...Spear mercenaries of the Potetons$; a human tribe under Imperial servitude. ^As a result of secret contact with the Potetons by the Dragonic Envoy who approached the Potetons to offer their forces$; ^a cheap mercenary contract was concluded under special conditions. ^One of the conditions were to support them for a future uprising against the Empire. ^ Well of course$; the Dragons were unwilling to fulfill such an obligation.,,,,
merc_crossbow,Levy Crossbowman,13,3,6,0,442,10,12,0,0,1,2,50,8,0,0,0,0,15,2,0,8,10,WEP_Light_Crossbow|WEP_Light_Crossbow|WEP_Crossbow,-1,0,-1,AMR_Cloth_Armor|AMR_Leather_Armor|AMR_Gambeson,,HEL_Leather_Hat|HEL_Kilted_Cap|HEL_Headscarf,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,16|17|1|2|6,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,245,,25,,40,10,barrier1,,An ordinary crossbowman. ^Unlike archers$; crossbowmen do not kite opponents in skirmish mode$; but their bolts deal more damage than arrows.,,,,
merc_spear_militia,Spear Militia,12,3,0,0,442,10,11,0,0,0,2,20,5,0,0,0,0,7,0,0,0,11,WEP_Short_Spear,-1,0,-1,AMR_Linen_Tunic,-1,HEL_Headscarf,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,16|17|1|2|6,0,0,0,0,,0,,,,,,,,,,,,,,,0,0,,,,,,,,255,10,15,,,1,,,A random man with a spear. ^Very weak.,,,,
einherjar_napoleonic,Einherjar,0,1,8,0,0,10,11,FAC_nord,26,1,11,480,50,0,0,0,0,48,5,0,15,45,WEP_Fusil_Charleville,-1,,,AMR_Cloth_Armor,-1,HEL_Leather_Hat,-1,0,0,0,0,0,0,,,,,0,9|12|18|20,2,2|12,0,1|2|10,15,,315,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,
imperial_mameluke,Imperial Mameluke Bucellarii,17,3,9,0,0,10,11,FAC_imperial,0,2,12,400,45,5,0,0,34,38,10,0,50,40,WEP_Compound_Bow,,0,,AMR_Brass_Scale,,HEL_Southern_Lamellar_Helm,,ACC_Imperial_Hunter,-1,0,-1,0,-1,0,0,0,0,0,7|11|18,15,6|7|8|9,,16|17|1|2|6,15,3,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,115,0,65,,100,22,horse,,The best horse archer in this game. Strong against cavalry. Very expensive. ^Still$; if you control them well$; they will work more than his cost. ^...The Envoy of the Dragons pleaded with the demonic nobles in the eastern part of the Empire to sell their slave warriors to Dragons. ^They are respected even by the gens Drana$; which respects military arts$; despite the fact that they are humans.^They have been trained in combat and mounted archery since their childhood$; and their prowess is no mean feat.,,,,
dra_farmer,Farmdra,0,9,10,3,0,10,11,FAC_dra,1,9,1,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,10,,,276,,,,,1,,,,,,,,,,,,,0,0,,,,,,,,250,30,0,0,0,25,cursor21,,A basic worker dragon who produces resources. Since they fly in the sky$; they are not affected by any terrain. ^...The dragons of the gens Nasun have a monopoly on production technology. ^They are not very good at constructing buildings$; but very good at producing resources.,,,,
