/*name,description*/
竜族天帝軍,\c[16]竜族天帝軍(ナスン派)\c[0]　-万能文明^ Pros -さいつよ。 \c[8]初心者にオススメ\c[0]^ Cons -安易^竜族共通特性:^・人類と異なる独自の技術ツリー、二種類の労働者^・人口上限が家の数に依存しないが資源貯蓄上限が依存^・基本的に壁と柵を張れない^[勢力ボーナス]：^・ナスン氏族の長^　-竜族最強の「ドラゴナスカール」を砦で生産可能^・天駆ける自由の使者^　-「ポテチ正規槍兵」と「ポテチ下馬騎士」を生産可能^・生産技術の独占^　-「お野菜ドラゴン」の作業効率が8%増加^・闇よ、落ちるなかれ^　-全研究コスト-10% ^・帝国市民法の継受者^　-時代進化コスト-25% 　家の貯蔵量が+25^・七色の龍帝^　-竜族ユニットのWill+10 生産速度+6%
竜族ドラコ派,\c[12]竜族ドラコ派\c[0]　-タワーディフェンス型文明^ Pros -竜族なのに壁が張れて守りが固い^ Cons -独特の運用が必要^[勢力ボーナス]:^・炎のさだめ^　-高機動力のゴーレム「帝国装甲騎兵」を砦で雇用可能。^　-また、強力な火薬兵器を運用可能^・天性のエンジニア^　-重装兵器工廠の作業速度35%増加^　-「ストーンゴーレム」のコスト-40%^・弩ラさん^　-「弩ラゴン」の金コスト-25%^　-塔の攻撃速度+25%　より貫通力の高い矢弾を使用^　塔と城の装甲+25%　塔のHP+500^　-人間用の防御施設や研究の一部が利用可能。^・ヨシ！^　-工兵ドラゴンの防御力+20% 建築速度+5%^・武士階級との確執^　-一部のドラナ系ユニットが雇用不可能
竜族ドラナ派,\c[5]竜族ドラナ派\c[0]　-脳筋型文明^ Pros -すぐに強いユニットが出る \c[8]初心者にオススメ\c[0]^  もしかすると慣れるまでは天帝軍より遊びやすいかも^ Cons -そのユニットを出し続ける以外何もない^[勢力ボーナス]:^・竜騎士団^　-全てのドラナ系ユニットの生産速度+15%　Will+20^　-また、「竜騎士道」のコスト-25%^・城主 ^　-砦の石コスト-20%^・防人 ^　-街の中心で「ドラゴンナイト」を生産可能^　　ただし、「ハーピー斥候」が生産不可能^・へそくり^　-開始時の金保有量が2倍^・尚武^　-砦で「マムルーク・ブケラリィ弓騎兵」を生産可能^・アホ^　-一部の魔法ユニット生産不可
,
ポテチ反乱軍,\c[8]ポテチ反乱軍\c[0]　-雑兵型文明^ Pros　-立ち上げが楽 最終的には兵士の津波が起きる^ Cons　-個々があまりに非力^[勢力ボーナス]：^・\c[8]農民反乱軍\c[0]^ -畑の木材コスト-40%^ -町の中心の生産速度+8%^ -家の人口拡張数+2^・\c[8]護るべきモノ\c[0]^ -街の中心の周りのユニットが強化される^・\c[5]皆兵\c[0]^ -労働者の装甲にボーナス^ -時代進化で街の中心から兵士が出撃可能^ -軍事建築にも人口拡張効果^^[ユニークテクノロジー]:^「無秩序」^　-本来砦で生産できる歩兵「ポテチハスカール」が^　　兵舎からも生産可能になる^「パーフュージョン」^　-兵舎の作業速度+100%
ルーリキア・ボルシチ連合,\c[11]ルーリキア・ボルシチ連合\c[0]　-歩兵型文明^ Pros　-人類最強の内政と強い歩兵 \c[8]人類初挑戦にオススメ\c[0]^ Cons　-足が遅い / 色々とスロースターター^[勢力ボーナス]：^・\c[8]母なる湿潤の大地\c[0]^ -食料生産効率+10%^ -時代進化で内政効率が上がる技術「手押し車」自動研究^・\c[11]薄闇の未来へ\c[0]^ -時代進化ごとに歩兵のHP+10%^ -攻城兵器コスト-15%^^[ユニークテクノロジー]:^「属州総督の追放」^　-三段階目の時代進化でさらにパワーアップ^「親衛隊」^　-強力な重騎兵「ドルジーナ護衛騎兵」が砦で生産可能に^　-ヒーローユニット「ルーリキア・ボガトゥィーリ」も！^「カヴンの招集」^　-魔術祭壇の作業速度+33%^　-魔術祭壇の攻撃速度が50に上昇
スシ・ウルス,\c[12]スシ・ウルス\c[0] -グラスキャノン型文明^ Pros　-機動力がすごく高いし火力も高い^ Cons　-全体的に脆い上爆発する　そしてうるさい^[勢力ボーナス]：^・\c[1]キ＝ヲキリマス\c[0]^　-畑以外の生産施設の木コスト-40%^・\c[1]イクサ＝ジャ\c[0]^　-時代進化で「徴用」（ユニット生産速度+33%）自動研究^　-攻城兵器の移動速度+50%^・\c[17]痕\c[0]^　-防御塔が建築不可能　さらに全建物HP-12%^^[ユニークテクノロジー]:^「天空騎兵隊」^　-厩舎の生産速度+33%、騎兵の移動速度+8%^　-本来砦で生産できるユニット「ステップ災厄騎兵」が^　　厩舎からも生産可能になる^「ディヴァインウィンド」^　-歩兵移動速度+8　加えて一部のユニットが死亡時爆発^　-対ヒーローユニット「剣豪」も生産可能に^「化学」 -　火薬ユニットが生産可能に 
,
,
帝国,\c[17]アルティピア帝国\c[0]　-防衛型文明^ Pros　-（理論上）最強の軍隊・時代進化不要・固い建物^ Cons　-完全に破綻した内政 \c[17]RTS/MOBA/DIS経験者向け\c[0]^[主な勢力ボーナス]：^・\c[8]千年帝国\c[0]^　-初めから時代進化完了済かつ開始時全資源量+100^　-全建物HP+40%　-兵舎アップグレード速度ボーナス^　-初めから視界+1 -鉄工所修理速度/兵舎回復速度+50%^・\c[16]デカダンス\c[0]^　-一般労働者の食料コスト+10^　-開始12分後に労働者の資源収集効率-10%^　 24分後にさらに-10%（合計-20%）^　-12分後に資源生産に特化した労働者が生産可能に^　-資源効率改善研究が1段階しか行えない^^[主なユニーク・テクノロジー]:^「機動野戦軍出動要請」-砦で歩兵が生産可能に^「カタフラクト隊出撃要請」　-砦で超重騎兵が生産可能に^「魔導複合装甲」-その騎兵が全ての刺突攻撃を半減^「攻城工廠の再稼働」-強い攻城兵器が生産可能に^「魔導通信」　-全ユニットの視界+1
,
,
バクラヴァ首長国,\c[1]バクラヴァ首長国\c[0] -らくだ文明^ テスト実装。装備の見た目しか反映されてません。^  基本的にモックアップで、試しに遊ぶことができるような完成度ではありません。^本更新後はデベロッパーモードでのみアクセス可能になります。
ランダム,ランダム^^全勢力からランダムに決まります。
