/*Name,Tier,TroopID1,Amount1,TroopID2,Amount2,TroopID3,Amount3,TroopID4,Amount4,,,,,,Comment1,Comment2,*/
Compound,1,TRP_imperial_levy_orc,4,TRP_goblin_archer,4,0,0,0,0,,,,,,,,
InfRush,1,TRP_imperial_slime,7,0,0,0,0,0,0,,,,,,,,
,1,TRP_imperial_aux_wolfrider,2,TRP_imperial_probebot,2,0,0,0,0,,,,,,,,
,1,TRP_imperial_levy_orc,5,0,0,0,0,0,0,,,,,,,,
,1,TRP_goblin_archer,7,0,0,0,0,0,0,,,,,,,,
,2,TRP_imperial_limitanei,4,TRP_imperial_archer,4,TRP_ram,1,0,0,,,,,,,,
,2,TRP_imperial_psiloi,6,TRP_imperial_aux_spearman,6,0,0,0,0,,,,,,,,
Cav,2,TRP_imperial_aux_wolfrider,5,0,0,0,0,0,0,,,,,,,,
,2,TRP_imperial_levy_orc,6,TRP_goblin_archer,6,TRP_imperial_medic,1,0,0,,,,,,,,
,2,TRP_imperial_limitanei,4,TRP_imperial_aux_skirmisher,4,0,0,0,0,,,,,,,,
,3,TRP_imperial_limitanei,6,TRP_imperial_archer,6,0,0,0,0,,,,,,,,
,3,TRP_imperial_foederati,4,TRP_imperial_limitanei,5,0,0,0,0,,,,,,,,
,3,TRP_imperial_vet_goblin_skirmisher,6,TRP_imperial_minotaur,3,0,0,0,0,,,,,,,,
,3,TRP_imperial_cav,6,0,0,0,0,0,0,,,,,,,,
Siege,3,TRP_imperial_limitanei,6,TRP_ram,1,TRP_scorpion,1,0,0,,,,,,,,
,4,TRP_imperial_aux_shocktroop,3,TRP_imperial_minotaur,6,0,0,0,0,,,,,,,,
,4,TRP_imperial_foederati,7,TRP_imperial_elite_archer,4,TRP_ram,1,0,0,,,,,,,,
,4,TRP_imperial_student,7,TRP_imperial_foederati,4,TRP_mangonel,1,0,0,,,,,,,,
Extra,4,TRP_imperial_aux_heavy,4,TRP_imperial_medic,1,TRP_imperial_goeteia,4,0,0,,,,,,,,
Siege,4,TRP_imperial_foederati,6,TRP_ram,1,TRP_scorpion,2,0,0,,,,,,,,
Cav,4,TRP_imperial_horse_archer,4,TRP_imperial_cav,6,0,0,0,0,,,,,,,,
,5,TRP_imperial_foederati,6,TRP_imperial_elite_archer,6,TRP_mangonel,1,0,0,,,,,,,,
,5,TRP_imperial_aux_heavy,4,TRP_imperial_aux_shocktroop,4,TRP_siege_ram,1,,,,,,,,,,
,5,TRP_imperial_aux_heavy,5,TRP_imperial_elite_archer,6,TRP_scorpion,1,0,0,,,,,,,,
,5,TRP_imperial_mage,1,TRP_imperial_aux_spearman,4,TRP_imperial_vet_goblin_skirmisher,4,0,0,,,,,,,,
Cav,5,TRP_imperial_elite_cav,4,TRP_imperial_horse_archer,5,0,0,0,0,,,,,,,,
COMITATENSES,6,TRP_imperial_comitatenses_shield,6,TRP_imperial_comitatenses_menavlion,6,TRP_imperial_scorpion,1,0,0,,,,,,,,
,6,TRP_imperial_comitatenses_shield,6,TRP_imperial_greenskin,6,TRP_imperial_scorpion,1,0,0,,,,,,,,
cavfinal,6,TRP_imperial_elite_cav,6,TRP_imperial_horse_archer,6,0,0,0,0,,,,,,,,
,6,TRP_imperial_mage,2,TRP_imperial_comitatenses_shield,6,TRP_imperial_catapult,1,TRP_siege_ram,1,,,,,,,,
,6,TRP_imperial_vet_aux_heavy,6,TRP_imperial_catapult,1,TRP_imperial_scorpion,1,0,0,,,,,,,,
,7,TRP_imperial_comitatenses_banner,1,TRP_imperial_comitatenses_shield,8,TRP_imperial_comitatenses_menavlion,8,TRP_imperial_scorpion,1,,,,,,,,
,7,TRP_imperial_comitatenses_shield,6,TRP_imperial_catapult,2,TRP_imperial_scorpion,1,0,0,,,,,,,,
,7,TRP_imperial_comitatenses_shield,7,TRP_imperial_guard,6,TRP_imperial_scorpion,1,TRP_siege_ram,1,,,,,,,,
,7,TRP_imperial_elite_mage,1,TRP_imperial_mage,2,TRP_imperial_goeteia,6,0,0,,,,,,,,
,7,TRP_imperial_vet_aux_heavy,8,TRP_imperial_aux_shocktroop,8,0,0,0,0,,,,,,,,
,7,TRP_imperial_comitatenses_banner,1,TRP_imperial_comitatenses_shield,8,TRP_imperial_comitatenses_menavlion,8,TRP_imperial_catapult,1,,,,,,,,
,7,TRP_imperial_comitatenses_banner,1,TRP_imperial_comitatenses_shield,8,TRP_imperial_comitatenses_menavlion,8,TRP_imperial_scorpion,1,,,,,,,,
,7,TRP_imperial_cataphract,5,TRP_imperial_mameluke,7,0,0,0,0,,,,,,,,
Final,8,TRP_imperial_hero_misoctius,1,TRP_imperial_cataphract,11,TRP_imperial_mameluke,8,0,0,,,,,,,,
