/*Name,Tier,TroopID1,Amount1,TroopID2,Amount2,TroopID3,Amount3,TroopID4,Amount4,,,,,,Comment1,Comment2,*/
Compound,1,19,4,18,4,0,0,0,0,,,,,,,,
InfRush,1,92,7,0,0,0,0,0,0,,,,,,,,
,1,111,2,74,2,0,0,0,0,,,,,,,,
,1,19,5,0,0,0,0,0,0,,,,,,,,
,1,18,7,0,0,0,0,0,0,,,,,,,,
,2,57,4,89,4,35,1,0,0,,,,,,,,
,2,92,6,112,6,0,0,0,0,,,,,,,,
Cav,2,111,5,0,0,0,0,0,0,,,,,,,,
,2,19,6,18,6,101,1,0,0,,,,,,,,
,2,57,4,113,4,0,0,0,0,,,,,,,,
,3,57,6,89,6,0,0,0,0,,,,,,,,
,3,61,4,57,5,0,0,0,0,,,,,,,,
,3,110,6,75,3,0,0,0,0,,,,,,,,
,3,85,6,0,0,0,0,0,0,,,,,,,,
Siege,3,57,6,35,1,17,1,0,0,,,,,,,,
,4,121,3,75,6,0,0,0,0,,,,,,,,
,4,61,7,90,4,35,1,0,0,,,,,,,,
,4,144,7,61,4,32,1,0,0,,,,,,,,
Extra,4,123,4,101,1,145,4,0,0,,,,,,,,
Siege,4,61,6,35,2,17,2,0,0,,,,,,,,
Cav,4,84,4,85,6,0,0,0,0,,,,,,,,
,5,61,6,90,6,32,1,0,0,,,,,,,,
,5,123,4,121,4,35,1,53,1,,,,,,,,
,5,123,5,90,6,17,1,0,0,,,,,,,,
,5,73,1,112,4,110,4,0,0,,,,,,,,
Cav,5,83,4,84,5,0,0,0,0,,,,,,,,
COMITATENSES,6,87,6,88,6,55,1,0,0,,,,,,,,
,6,87,6,56,6,55,1,0,0,,,,,,,,
cavfinal,6,83,6,84,6,0,0,0,0,,,,,,,,
,6,73,2,87,6,58,1,53,2,,,,,,,,
,6,122,6,58,1,55,1,0,0,,,,,,,,
,7,100,1,87,8,88,8,55,1,,,,,,,,
,7,87,6,58,2,55,1,0,0,,,,,,,,
,7,87,7,86,6,55,1,0,0,,,,,,,,
,7,146,1,73,2,145,6,0,0,,,,,,,,
,7,122,8,121,8,0,0,0,0,,,,,,,,
,7,100,1,87,8,88,8,58,1,,,,,,,,
,7,100,1,87,8,88,8,55,1,,,,,,,,
,7,21,5,9,7,0,0,0,0,,,,,,,,
Final,8,77,1,21,11,9,8,0,0,,,,,,,,
