//mapname,mapID,conditionSwitch,playerfaction,worldx,worldy,Text
アルティピア帝国：,0,0,1,0,0,""
クルシラ,41,0,1,0,0,"天帝軍南進を迎え撃つべく北上した機動野戦軍北部方面隊が撃退された！^駐屯する帝国第IV軍団の抵抗さえも虚しく、帝国都市ニオシアは陥落したのだ。^帝国正規軍敗戦の一報は大陸中を電光の如く駆け巡り、今や帝国全土が混乱の最中にある。^天帝軍に呼応し決起したポテトン人反乱軍は、まさに怒涛の勢いをもってニオシア半島から中央平原へ雪崩れ込まんとしている。^軍勢には、略奪に味を占めた竜族、北方人傭兵、―そして嘆かわしいことに―帝国を裏切った脱走兵も加わっており、その勢いは留まるところを知らない。^ニオシアから後退した北部方面隊は体勢を立て直せていないが、半島の出口となるクルシラ川を防衛線と定め、敵を残余の戦力で食い止めんとする。"
トレーニング（帝国）,42,0,1,0,0,""
ウォスケス,44,0,1,0,0,""
ウィラ・ボカリア,48,0,1,0,0,""
オクトベリヌム,43,0,1,0,0,""
ニオシア市街,0,0,1,0,0,
ペトロウカ,40,0,1,0,0,"スシ・ウルスの侵攻を跳ね返し、自らの力を証明してみせた属州トリニタスの諸都市は、「ルーリキア・ヴォルシチ連合」として帝国に対し独立を宣言した。^これを受けた帝国元老院は、南部方面隊の動向を注視していた東部方面隊に討伐を命ずる。^一方の連合軍は帝国との対決に備え、対遊牧民用に建造された砦や集落を転用した防御線を構築し、これを迎え撃つ手筈を整えている。^こうして、一度は共闘したはずの帝国軍とルーリキア軍は、今や敵同士として北の大地で対峙する。^帝国にとって北東周縁部は東部の主要都市とステップとを隔てる防壁であり、そして単なる属州であり続けねばならないのだ。"
皇帝のいない二月,0,0,1,0,0,
赤い野原へ散ってゆく,0,0,1,0,0,
